,0,1,label
10,보기보단 예쁜 어린 마음에 허튼 눈치 보는 어린 애 고기보단 야 챌 먹는 벌레 촌스런 게 먹힐 걸 금방이라도 우쭐대는 너 허튼 눈치 보는 바람에 그 눈을 보면 미안 하단 걸 보이지도 않게 가버리면 좋을 텐데 딱히 할 얘기가 없어도 말하지 않으면 또 외로 워할 텐데 보기보단 예쁜 어린 마음이라고 생각했어,이별,9
11,그런 니가 먹힐 걸 금방이라도 우쭐대는 너 허튼 눈치 보는 바람에 그 눈을 보면 미안 하단 걸,이별,9
12,UH YEAH WE JUST ROLLIN' ROLLIN' ALL DAY AND NIGHT KEEP FALLIN' FALLIN' YOUR HIPS YOUR LIPS YOUR CHEEKS BABY I WANNA KISS HAHA AND THIS IS IT 오늘만 딱 둘이 서 너와 나는 너와 나는 오늘 난 딱 하루만 PLEASE 전화 길 꺼 두고 빈둥대고 아무 방해 받고 싶지 않아 BABY 너도 나와 같은 생각 아냐 TV 속엔 그저 그런 프로그램 방안 속에 우린 NO PROBLEM 너 이리와 TV 소리 좀 죽이고 이불 속 숨 죽이고 야금야금 과자 씹으면서 영화보다 눈 맞다 영화 찍다 밤새도록 한심하게 너를 안고 나 뒹굴뒹굴 뒹굴뒹굴 하고 싶어요,짜증,10
13,우리 둘이 뒹굴뒹굴 뒹굴뒹굴 하고 싶어요,이별,9
14,꽉 안아 주고 아껴 주는 그런 사랑 둘이 서만 나는 하고 싶어요,이별,9
15,괜찮아 새 옷도 필요없어 필요 없어 BABY 난 좋아 쌩얼로 있으면 돼 비싼 옷 구두 향수 매니큐어 아무것도 없어도 돼 그냥 있어 입지 않고 먹지 않아도 할 게 아주 많잖아,활력,12
16,TV 속엔 그저 그런 프로그램방안 속에 우린 NO PROBLEM 너 이리와 TV 소리 좀 죽이고 이불 속 숨 죽이고 야금야금 과자 씹으면서 영화보다 눈 맞다 영화 찍다 밤새도록 한심하게 너를 안고 나 뒹굴뒹굴 뒹굴뒹굴 하고 싶어요,짜증,10
17,우리 둘이 뒹굴뒹굴 뒹굴뒹굴 하고 싶어요,이별,9
18,꽉 안아 주고 아껴 주는 그런 사랑 둘이 서만 나는 하고 싶어요,이별,9
19,너와 뒹굴뒹굴 하고 있는 지금 머리 위로 TWINKLE TWINKLE 하게 반짝이는 별빛 걱정 마 그냥 손만 잡고 잘 거야 사실 잠은 안 잘 거야 우리 심심한데 뽀뽀나 할까요 뽀뽀는 심심한 데 키스나 할까요 키스도 심심하면 뒹굴뒹굴 할까요 나 뒹굴뒹굴 뒹굴뒹굴 하고 싶어요,짜증,10
20,우리 둘이 뒹굴뒹굴 뒹굴뒹굴 하고 싶어요,이별,9
21,꽉 안아 주고 아껴 주는 그런 사랑 둘이 서만 나는 하고 싶어요,이별,9
22,너가 다니는 모든 길과 배경은 모두 검은색 너만 하얗게 보여 내 눈은 머는데 너무 밝아 그런데도 넌 너무 익숙한 듯 내 품에 안길 때 딱 맞는 몸 무게 이제 해보자 몸 수색 너에 겐 죄가 있어 그건 모든 연예인들을 다 못나게 한 니 미 모 한 날 한시도 너가 옆에 없인 길을 잃는데 난 너와 함께 여도 보고 싶다 땡 깡 피는 애 더 이상 나 없인 못산다는 말은 하지 마 내가 일에 바빠도 이해하는 맘은 갖지 마 상처 주는 내가 뭐가 좋다고,짜증,10
23,니 사랑을 아낌없이 줘 이뻐 죽겠어 이젠 내가 불이 돼 줄게,이별,9
24,너처럼 뜨거운 해가 돼 차가운 세상을 패 줄게 그냥 넌 내 안에서 살면 돼 순간 세상은 나와 너 빼고 잠적해 무서워 하지 마 오빠도 오늘 처음이야 예에 우리 입맞추는 순간 으 음 고마워 이런 느낌은 내 생에 처음이야 예에 에에 내 몸이 불타 오르고 있어 잠이 덜 깬 채로 일 나가는 너를 보면서 대견 하기도 하며 때로는 안쓰러워 내가 생각한 대로 내 일이 안 풀릴 때 넌 그냥 잠깐 보러 오면 돼 일 안해도 돼 내가 너의 집 앞일 때 나와서 안아 줘 피곤하지 하루종일 책에 머리를 박아서 근데 있잖아,짜증,10
25,나 그리 치열이 살아도 너를 볼 땐 아무 일도 없던 것처럼 웃으며 장난쳐 왜 그러긴 왜 야 부담보다 더 줄게 많아 이 얘 긴 친 구들이랑 하면 돼 넌 걱정 말아 너 그런 신경 안 써도 할 거 많잖아,짜증,10
26,공부 그리고 내가 배고플 때 도시락 싸 와 야 돼 너 나한테 그러면 안 돼 커피만 사 밥은 내가 살게 부담 주는 게 아니야,짜증,10
27,부담보다 더 줄 게 많아서 그냥 그렇다고,이별,9
28,무서워 하지 마 오빠도 오늘 처음이야 예에 우리 입맞추는 순간 쪽 으 음 고마워 이런 느낌은 내 생에 처음이야 아아 예에 에에 내 몸이 불 타 오르고 있어 내 손을 잡아 알아 떨리는 맘 아니 그냥 안아 핸드백을 놔 나는 너의 남자야 니가 어떻든 간 니가 싫기 전엔 안 가 하지 마 불안 너의 향기 또 매력적인 스타일 다 들어 줄 거야 너의 그 말 안되는 주장도 어 난 매일 걱정해 된 장녀가 아닌 너는 대체 뭘 원해 툭하면 하는 거짓말 사랑한다 할 때 왜 내 몸을 봐 돌아가는 눈동자 다 보여 나는 매일 불안해 맘 졸여 아니 절대 걱정 안해도 돼 만원짜리 내기를 해도 돼 주위를 봐 누가 날 쳐 다 보니 여기서 누가 제일 네 거 같니,짜증,10
29,1 2 3 4 너와 나 불타올라 아 너와 나 불타올라 아 너와 나 불타올라 아 너와 나 불타올라 아 너와 나 불타올라 아 너와 나 불타올라 아 너와 나 불타올라 아 내숭 떨지 말라고,짜증,10
30,자기야,승리,6
31,I know you thinkI know you baby 난 널 난 널 다 알아 I know you babyI know you think 난 널 난 널 다 알아 You don't want to be a kind 어쩔 수 없다고,활력,12
32,You don't want to be a alone 내가 있을 거야 나쁘게 말을 해도 그런 맘이 아닌걸,활력,12
33,난 알고 있어 baby 솔직하게 말해도 난 상관없어 니 옆에 있을게,환상,3
34,I know you thinkI know you baby 난 널 난 널 다 알아 I know you babyI know you think 난 널 난 널 다 알아 I don't wanna lose you 아픈 말은 하지 마 I don't want to be your friend 지금이 좋은 거 잖 아 다른 사람들이 널 나쁘게 말한 대도 난 듣지 않았어,활력,12
35,넌 상관없다 말해도 진심 아니잖아,성적,0
36,슬 프 단 걸 알아 You know you know you know you know 넌 날 넌 나를 알잖아,활력,12
37,oh You know you know you know you know 너 만이 나를 알잖아,활력,12
38,oh 가끔 모르는 척해도 넌 내 옆에 있어 그대로 Girl can we 내 곁을 떠나려 해도 이미 너는 내게 베어 있지 It's hard to say i'm sorry baby 이미 알고 있지만 괜히 큰소리 내지 난 서 있어 자존심 다 버리고 SorrySome time we can't give upYou know that true Some time we can't give upYou know that true,활력,12
39,불을 꺼줘 Please 어둠 속에 내가 있을 거야 거짓말 해도 돼 너는 잘못한 게 없는 거야 Let me do it 지금부터 넌 좋은 꿈을 꾸는 거야 Let me do it 너의 귓가에 눈에 손에 새겨 놓는 Days 낙인 같은 Night Anyone looking for the paradise lost 달콤한 꿀처럼 좋은 거 말이야,활력,12
40,Maybe I am that your diamond lost 미치게 탐나는 좋은 거 말이야,짜증,10
41,I feel I'm real 지금 넌 어디야 지금 난 거의 다 Paradise I'm here I'm yours 이것만 기억해 You and I Another paradise 불을 켜 줘 Please 니가 나를 전부 볼 수 있게 이 순간 우린 Free 돌아가고 싶은 곳은 없어 믿지 마 내 목소리가 아닌 모든 말은 거짓말 널 흔들려는 모든 것 들 Stop Stop Stop Stop Anyone looking for the paradise lost 달콤한 꿀처럼 좋은 거 말이야,활력,12
42,Maybe I am that your diamond lost 미치게 탐나는 좋은 거 말이야,짜증,10
43,I feel I'm real 지금 넌 어디야 지금 난 거의 다 Paradise I'm here I'm yours 이것만 기억해 You and I Another paradise They're talking about a fantasy They're making upanother fantasyThey're talking about a fantasyThey're making up a storySo thatthey can control you and meAnyonelooking for the paradise lost 멋진 말 거짓말 필요 없어 더는 You are myand I'm your diamond lost 같은 밤 같은 달 태양 앞에 우린 I feelI'm real 지금 넌 어디야 지금 난 거의 다 ParadiseI'm hereI'm yours 지금만 기억해 You and IAnother paradise,활력,12
44,I be showin no regretI be showin no regretI be shoppin no regretI be showin no regretI be showin no regretI be shoppin no regretget me around in trolly booget me around in rollie too put it all in my bag got that sweet toothpop a lolly tooI get all things that make me feel alrightImma try and have all things it make me feel aliveyes I got a counterfeit just fake itif I got regret I gotta make ityes I got a counterfeit just fake itno I no regret just gotta fake it roll it up with somebody야 니 옷 좀 봐 nah bishh I know better how to wear it than yayou know I cop it better than you uhyeah you mad cuz I'm better than you nahyes I got a counterfeit just fake itif I got regret I gotta make ityes I got a counterfeit just fake itno I no regret just gotta fake it I be showin no regretI be showin no regretI be shoppin no regretI be showin no regretI be showin no regretI be shoppin no regretand I hit dat ish like she a fefe now and I hit dat ish like we da fefe nowoo fiji at my show we gone let it wetWet and I hit dat ish like I'm a penny rolling out and I hit dat ish like she a fefe now and I hit dat ish like we da fefe nowoo fiji at my show we gone let it wetWet and I hit dat ish like I'm a penny rolling out popping out like Popeyesguap I make her mine mine on my wallet pop out make a ninja pop outOo girls dancing on my mo flipping sauce Ya Girls dance to my sauce roll it up with somebody roll it up with nobody roll it up with somebody roll it up with nobody I'm just cooling lickin lips to kool aid nowAirplane mode on cus I'm swerving on this nowI be showin no regretI be showin no regretI be shoppin no regretI be showin no regretI be showin no regretI be shoppin no regret,활력,12
45,먼저 가 있어 샤워하고 나갈게,승리,6
46,주 말이니까 행선지는 everywhere 보채지 좀 마 샤워만 하고 나갈게,활력,12
47,땀내면 서 놀자 밤새 색깔 있는 옷을 꺼 내색 다른 느낌을 원해 옷장을 열어 한번 scan 과한 건 싫어 식상해 손목엔 살짝 불가리 오늘 밤 알지 girl you got ityou got it 샴푸를 pump'in pump'in up 심장도 pump'in pump'in up 미끄런 바디 워시 같은 널 찾을래,짜증,10
48,오늘 밤 샴푸를 pump'in pump'in up 심장도 pump'in pump'in up 욕실은 클럽 밤새 샤워할 거야 땀으로 Hey girl 너에게로 직 진해 오늘 여기 음악 전부 시 시해 멋진 남자들이 주위를 뱅뱅 너와 조금 더 가까워 지고 싶어 lady ya 너무 더워 마치 사우나 눈치만 보다가 해가 밝아 어 저기 너 1 2 ready action 예감이 좋아 오늘 밤 매일 상상만 했는 걸 꿈같은 너와 나 party 준비는 이미 끝났어,활력,12
49,너에게로 다가가서 말할 거야 hey girlbaby I wanna know your name 샴푸를 pump'in pump'in up 심장도 pump'in pump'in up 미끄런 바디 워시 같은 널 찾을래,활력,12
50,오늘 밤 샴푸를 pump'in pump'in up 심장도 pump'in pump'in up 욕실은 클럽 밤새 샤워할 거야 땀으로 woo 아름다운 밤이 깊어 갈수록 나는 너를 좀 더 알고 싶은 걸 어디야 잠깐만 기다려 지금 너에게로 가고 있어 심장은 pump pump 두근대나 완전 준비됐어 이제 내 향기에 취해 baby I want you 샴푸를 pump'in pump'in up 심장도 pump'in pump'in up 미끄런 바디 워시 같은 널 찾을래,활력,12
51,오늘 밤 샴푸를 pump'in pump'in up 심장도 pump'in pump'in up 욕실은 클럽 밤새 샤워할 거야 땀으로,활력,12
52,Oh yeahOh where are you 흐릿 하게 남아 있는 기억 속 너를 만져 봐 버리지 못해 놓지도 못해 아무것도 못해 하얗게 지워 버렸다고,활력,12
53,애써 웃지만 넌 남아 있잖아,이별,9
54,알고 있잖아,성적,0
55,Yeah you stay on my mindWhat does it feel like 날 지켜보는 네 그림자 What does it feel like 잡아 봐도 빠져 나가 더는 못하겠어,활력,12
56,Kiss or Kill me now Oh yeah 이제는 Kiss or Kill me now 말해 줘 Crazy hide and seek Oh yeahOh 제발 Tell me where you are 이젠 더 이상 날 힘들게 하지 마 Oh where are you 난 이제 지쳤어,활력,12
57,Uhm 또다시 제자리 너를 찾아 헤맨 그 자리 모든 게 그대로 다시 처음으로 그때 그 자리로 Yeah 얼마나 많이 반복해야만 하겠니,활력,12
58,이 길의 끝에서 널 볼 수 없다면 이젠 그만 하고 싶어 What does it feel like 오늘도 넌 그 어둠 속에 What does it feel like 나를 보며 웃고 있니,활력,12
59,더는 못하겠어,이별,9
60,Kiss or Kill me now Oh yeah 이제는 Kiss or Kill me now 말해 줘 Crazy hide and seek Oh yeahOh 제발 Tell me where you are 이젠 더 이상 날 힘들게 하지 마,활력,12
61,Baby I'm homeBaby I'm homeBaby I'm homeBaby I'm home 짐은 그대로 놔둬도 돼 어차피 내일 또 일찍 나가야 해 It's been a long day 집에 돌아와 보니 밤도 얼마 안 남았네,활력,12
62,옷도 안 벗고 소파에 가만히 욕조 안에 편히 잠길 생각만 해 I thought of it all day 칠해 머릿속을 까맣게 아무것도 안 남게 자기 전에 틀어 놓던,짜증,10
63,playlist 오늘은 꺼 둬 조용하게 얘기 해내 하루가 어 땠는지 물어봐 줘 Hmmm 요즘에 말이야 내가 시간을 쓰는 게 아니라 시간이 나를 쓰는 거 같은 느낌이 들 때가 많아 매일 후회만 남아 오늘은 씻을 힘도 하나 없어 날 씻겨 줘 날 씻겨 줘 지쳐 있는 my body 더럽혀 진 마음까지 다 씻겨 줘 다 씻겨 줘 please 욕실엔 습기 가득히 거울 속 나를 감추지 내 시선을 마주칠까 두려워 뿌옇게 그냥 두려고,짜증,10
64,왜 그렇게 친절해요 갓 내린 커피처럼 따뜻해요,활력,12
65,모든 말에 하나하나 어쩜 그렇게 전부 대답해 줘요,짜증,10
66,왜 자꾸만 웃어 줘요,짜증,10
67,내가 다치지 않게 배려 해요 아픈 날 왜 걱정해요,짜증,10
68,내가 과민반응 하는 걸까요 혹시 말랑 자두 좋아해요,이별,9
69,키우는 강아지 이름이 뭐예요,이별,9
70,보통 몇 시쯤 자요 혹시 처음 본 사람과 밤을 보낸 적 있나요,이별,9
71,알고 싶어 져요,성적,0
72,그 대의 모든 걸 갖고 싶어 져요,짜증,10
73,그 대의 마음을 모르고 싶어요,짜증,10
74,그대는 아니라면 잠시만 그대로 있어 줘 그 댄 내게 위로가 돼요,짜증,10
75,Just give me yellowThen I'll go 잠들기 전 그날 생각이 났다면 눈떴을 때 제일 먼저 하는 일이 어젯밤 잠든 이후의 문자에 답장을 하는 거라면 느껴 봐요,짜증,10
76,생각을 멈추고 느낌을 따라 봐요,짜증,10
77,머뭇거리지 마요 난 숨기고 싶지 않아요,두려움,2
78,사랑을 노래하고 싶어요,이별,9
79,혹시 말랑 자두 좋아해요,이별,9
80,키우는 강아지 이름이 뭐예요,이별,9
81,보통 몇 시쯤 자요 혹시 처음 본 사람과 밤을 보낸 적 있나요,이별,9
82,알고 싶어 져요,성적,0
83,그 대의 모든 걸 갖고 싶어 져요,짜증,10
84,그 대의 마음을 모르고 싶어요,짜증,10
85,그대는 아니라면 잠시만 그대로 있어 줘 Hey 이제 우리 그만 말 놓을까요,짜증,10
86,그냥 예 은 아 하고 불러 괜찮아 요처음엔 다 그래요 누구나 다 두렵죠,짜증,10
87,But I’m a gryffindor girl 용기 낼께요,짜증,10
88,for uCuz you are my joelI’ll be your clementine 함께 기차를 타고 yeah 몬 타 크 비치로 가요 Just give me yellow yellowI’ll make it mellow jello 즐거울 거에요 Call it magic 지금 집 근 천 데 나올래요,활력,12
89,오늘 날씨가 너무 좋네요,활력,12
90,소고 기 사주 세요 커피 한잔 아니면 보리차라도 좋은데 알고 싶어 져요,이별,9
91,그 대의 모든 걸 갖고 싶어 져요,짜증,10
92,그 대의 마음을 모르고 싶어요,짜증,10
93,그대는 아니라면 잠시만 그대로 있어 줘 그 댄 내게 위로가 돼요,짜증,10
94,Just give me yellowThen I'll go,활력,12
95,baby when you touch me 내 우주는 너로 가득 차 I want you to touch me 너의 색깔로 날 물들여 줘 쓸데없는 말은 아껴 둬 and boy show me your love 다 느낄 수 있게 해 줘 눈을 감아도 딴 애들의 관심은 필요 없어 난 걔네의 사랑도 필요 없어 let’s get nakedand then sex me upI want you so badI want it all or nothing 너의 전부가 아니면 갖기 싫어 babylove mefuck meall nightdon't turn off the lightsoh babylove mekiss meall nightI won't turn off lightsyeah yeah yeah yeah 내 몸에선 이제 너의 냄새가 나 but I don’t mindI can do this all day all night 난 계산적이지 않아 너도 날 알잖아,활력,12
96,내 사랑을 너한테 아끼고 싶지 않아 everytime I find you you’re lonely 나를 찾는 너의 그 목소리 내치지 못해서 품에 안고 너를 보며 나는 생각해 너의 위에 올라 생각해 우리 둘이 함께 있을 때 쉬지 않고 움직여 줄게,짜증,10
97,아직 네 가 해보지 못한 일들이 있으면 내게 말해 하나 둘씩 내가 천천히 알려줄 테니까 맘을 비워둬 you should find what you wantI'll find what you needyou’d be fineput on my shirtget cake and gin 적셔 이 밤에 you put it on meI just wanted to put it on youyou do it for meI’ll be down to fuck with youay ay hold my hand shit's tight 머리끝까지 느껴진 기분 I’ll be doin it for lifeI wanna be with youkissing you lay down with youeverytime everytime everytime 매일 같은 시간 너를 생각해 everytime everytime everytimewhen I fuck with you v girl 귀에 들리는 숨소리가 너무 달콤해 못 참겠어,활력,12
98,너를 품에 안고 다시 불을 붙여,아름다움,8
99,I am just 26 26 26 나 I’m just 26 26 뭘 봐 뭘 자꾸만 봐 뭐가 좋다고,짜증,10
100,계속 실실 대냐고 막 이렇게 어 이렇게 어 왜 자꾸만 그렇게 하냐고 어제보다 더 내가 좀 더 이상 해져 오늘 하루도 내가 아닌 것 같아져 자꾸 내일이 되면 상상도 못할 나도 모를 너도 모를 내 모습이 내 모습이 내 모습이 Babe babe babe babe 네 앞에선 Babe babe babe babe 나도 이렇게 될 줄은 몰랐어,활력,12
101,널 보고 있으면 나도 모르게 나 듣고 싶나,활력,12
102,봐 Tell me I’m your babe babeU make me 25 25 25U make me 24 24 24I feel like 21 21 21 또 듣고 싶나,활력,12
103,봐 Tell me I’m your babe babe 어서 데려가 좀 더 놀아 줘 봐 왜 아기 취급해 살살 다루니 날네 앞에서 가늠 안돼 내 나이가 무슨 마법이라도 걸었니,활력,12
104,비나이다,이별,9
105,천 하의 내가 너 땜에 안달복달 매일 애가 타 잖 니어 쩜 이렇게 몸이 꼬이는지 Babe 이 건 어리광이 맞아 예뻐 해 줘 내 모습이 Babe babe babe babe 네 앞에선 Babe babe babe babe 나도 이렇게 될 줄은 몰랐어,이별,9
106,널 보고 있으면 나도 모르게 나 듣고 싶나,활력,12
107,봐 Tell me I’m your babe babeU make me 열아홉 열아홉 열아홉 U make me 열일곱 열일곱 열일곱 I feel like 열다섯 열다섯 열다섯 또 듣고 싶나,활력,12
108,봐 Tell me I’m your babe babe 나 오늘 잠 안 오네,활력,12
109,너 땜에 잠 안 오네 눈빛이 생각나서 말투가 생각나서 잠 안 오네,성적,0
110,너의 눈빛 땜에 Babe babe babe 너의 손길 땜에 Babe babe babe 내 모습이 Babe babe babe babe 또 듣고 싶나,활력,12
111,봐 Tell me I’m your babe babeU make me baby girlbaby girl baby girlNow I’m your baby girlbaby girl baby girl,활력,12
112,나 지금 불편한 거 알아 바보 같은 네 게 딴 맘 가질 거라고 생각지도 못 했는데 참 나 어쩌면 너는 이미 알까 친구라 보기엔 더 가까운 우리 사이 둘이 마치 연인같이 매일 같이 연락 주고받는 것도 모자라서 서로의 스케줄을 묻다가도 아침에 일이 있어도 늦은 밤 한강 길을 걷잖아,짜증,10
113,매일 함께 놀던 친구들도 우리 눈 칠 보기도 해 너와 나 누굴 탓해야 해 그런 눈으로 보지 말고 나 지금 불편해 나 지금 불편해 아무렇지 않은 너를 두고 내가 왜 혼자서 이런 고민 해야 돼 나 지금 불편해 나 지금 불편해 아무것도 모르는 것 같은 너 땜에 답답해 무지 불편해 나 지금 불편한 거 알아 편히 웃는 네 게 딴 맘 가질 거라고 생각지도 못했는데 참 나 어쩌면 너는 이미 알까 친구라 보기엔 더 가까운 우리 사이 둘이 마치 연인같이 매일 같이 다른 여자 얘 길 계속 하면서도 그 남자 들은 절대 아니라고 누군가 만나려 하면 이상하게 넌 화를 내잖아,짜증,10
114,매일 함께 놀던 친구들도 우리 눈 칠 보기도 해 너와 나 누굴 탓해야 해 그런 눈으로 보지 마나 지금 불편해 나 지금 불편해 아무렇지 않은 너를 두고 내가 왜 혼자서 이런 고민 해야 돼 나 지금 불편해 나 지금 불편해 아무것도 모르는 것 같은 너 땜에 답답해 무지 불편해 편한 관계가 불편 해진 이상한 상황 우린 아주 가깝지만 보고 있는 것은 서로가 달라 너와 내가 만약 친구의 소개나 클럽에서 봤다면 지금 관 달랐을까,성적,0
115,그럼 좋겠어 근데 소용없지 내 졸업 앨범 속 웃고 있어 넌 여전히 길을 걷다가도 앞서가는 네 모습을 이상하게 보는 내가 미워지기도 하면서 이런 날 모를 네 가 미워 전에 만났던 여자들 따지고 보면 너보다 예쁜 애들 많아 나도 근데 연락 안 하게 되더라,짜증,10
116,매번 너로 채워져 가는 문자 통화 목록 너도 느낄걸,승리,6
117,아마 이런 내게 넌 고민 있냐,짜증,10
118,묻고 친구로서 해결해 주겠다 당당히 묻는 너 지금 이 술자리고 민의 주인은 넌데 난 아무 말도 못해 나 지금 불편해 나 지금 불편해 아무렇지 않은 너를 두고 내가 왜 혼자서 이런 고민 해야 돼 나 지금 불편해 나 지금 불편해 아무것도 모르는 것 같은 너 땜에 답답해 무지 불편해,성적,0
119,니가 너무 예뻐서 감당이 안 돼요,성적,0
120,다리가 후들후들 후들 니가 너무 좋아 감당이 안 돼요,이별,9
121,다리가 후들후들 후들 입술이 마르면 물을 마시면 돼 니가 모자르면 무 얼 마셔야 해 다른 여자가 동해 물 만큼 있어도 있어도 알까 나 모를까 나 내 서툰 맘 말 야 알아도 모른 척 몰라도 모른 척 알까 나 모를까 나 내 맘 받아 주라 주문을 외운다 주문을 외운다 넌 야해 너 여야 해야 해 너 여야 해야 해 너 여야 해야 해 야해 너 여야 해 입 꼬릴 올려 니가 웃는다면 다리가 후들후들 후들 고양이 닮은 니 눈이 예뻐서 다리가 후들후들 후들 입술이 마르면 물을 마시면 돼 니가 모자르면 무 얼 마셔야 해 다른 여자가 동해 물 만큼 있어도 있어도 알까 나 모를까 나 내 서툰 맘 말 야 알아도 모른 척 몰라도 모른 척 알까 나 모를까 나 내 맘 받아 주라 주문을 외운다 주문을 외운다 넌 야해 너 여야 해야 해 너 여야 해야 해 너 여야 해야 해 야해 너 여야 해 넌 공기 청정기보다 더 맑은 눈을 가졌어 내 삶의 호흡이 돼 줘 내 삶의 호흡이 돼 줘 알까 나 모를까 나 내 서툰 맘 말 야 알아도 모른 척 몰라도 모른 척 알까 나 모를까 나 내 맘 받아 주라 주문을 외운다 주문을 외운다 넌 야해 너 여야 해야 해 너 여야 해야 해 너 여야 해야 해 야해 너 여야 해,승리,6
122,갈 곳 잃은 듯 떨리는 눈빛 너를 밝히는 유일한 불빛 eyes 눈을 감은 채 yeah 어느덧 넌 최면에 빠지네,활력,12
123,삐끗 삐끗 해 흘끔흘끔 대 마음처럼 잘 되지 않아 조급해 I feel good not bad 해 You believe me 그냥 즐기면 돼 춤을 춰 몸이 날 이끄는 대로 지금 이 느낌 이대로 너의 우주를 탐험해 feelin' so fly 속삭여 들뜬 기분대로 달빛이 빛을 감출 때도 계속 yeah 나와 춤을 춰 High tensionHigh tensionHigh tension 대담 해진 손짓은 너와 날 하나로 만들어 춤을 춰 Dancing all night 빨라 진 템포 비트 숨이 차올라 두 손은 내 허리 위너는 마치 내게 온 파도 같아 난 그 위를 서핑해 끌어당겨도 좋아 흐트러진 머리를 묶고 여전히 우리 둘뿐이야 무인도 괜찮아 무리해도 넌 내게 번지 정해진 법칙은 없어 들어줄게,활력,12
